ext,pa,pscale,crval1,crval2,ctype1,ctype2,cd1_1,cd1_2,cd2_1,cd2_2,a_order,a_0_2,a_0_3,a_1_1,a_1_2,a_2_0,a_2_1,a_3_0,b_order,b_0_2,b_0_3,b_1_1,b_1_2,b_2_0,b_2_1,b_3_0,sip_rot,sip_scl,sip_dra,sip_dde,sipstatu,sipcost,sipnfev,sipnjev,sipoptim,sipsucss,sipfast,sipramad,sipdemad,offset_sep,offset_pa,sign_x,sign_y
DET11.SCI,0.09665625378943332,0.29674399528636697,52.78777191781005,-28.50008788727121,RA---TAN-SIP,DEC--TAN-SIP,4.909276114382451e-07,-8.265121184490664e-05,8.219054583473155e-05,4.921035798257835e-07,3,-9.226333728858487e-08,-1.1276070446066942e-11,7.365346761876314e-07,-7.93811070439823e-11,1.2261992600214497e-06,2.525240048335416e-11,-1.1663242605647432e-10,3,1.10719177103932e-06,-1.2039745526914364e-10,1.3286555012891488e-06,-7.541967688646233e-12,3.4609283577498487e-07,-4.964855321024126e-11,-3.246701984527366e-12,2.390528502929496e-05,1.00000118847079,-1.8608513577326792e-07,-3.2237433748518466e-07,3,1.8285373215576328e-06,33,2,8126.503259092247,True,False,0.00010541734482463783,7.285934931744396e-05,0.3913488708522291,2.297768127191649,1,-1
DET21.SCI,0.09665625378943332,0.29674399528636697,52.70401382676501,-28.3176104066903,RA---TAN-SIP,DEC--TAN-SIP,3.995198239082161e-07,-8.270191038338972e-05,8.252872993010112e-05,3.860658110620811e-07,3,-9.935190529344345e-08,-2.217817933487756e-12,2.503940173970806e-07,-8.479827488760301e-11,1.1657373740697383e-06,-7.469965338745673e-12,-8.24057814415394e-11,3,3.582563449230496e-07,-7.732621976201465e-11,1.3222802270205636e-06,-5.583266582567834e-12,1.2381569745973043e-07,-6.966726851891321e-11,6.92798094252739e-12,2.0821812108284723e-05,1.0000006677008229,-5.805060688920509e-07,-1.4984432946496058e-07,3,2.2306601010768645e-06,36,4,4295.360239319515,True,False,0.00010866565578977926,7.488709741498522e-05,0.2769590664802792,2.789074432624364,1,-1
DET31.SCI,0.05829076131531963,0.2967439952863638,52.62202083549612,-28.139238956697515,RA---TAN-SIP,DEC--TAN-SIP,-3.3256549697006103e-07,8.262786859520458e-05,-8.260019432713028e-05,-1.6626062972913137e-07,3,1.227586877919555e-07,-8.848372477594275e-12,2.7068478428093995e-07,-6.821706067786748e-11,-1.1472831227285258e-06,-2.9530993871950165e-11,-1.0309183174226643e-10,3,3.75881458975421e-07,-1.1372760660971871e-10,-1.3093734327016032e-06,2.6615264314948802e-11,1.1870638227588452e-07,-9.363246932283551e-11,-7.915920595260338e-12,-1.7630453537165183e-05,0.9999998335116961,-1.2277822962996693e-06,2.3683379493853798e-08,3,5.418998583195389e-06,37,5,3327.948871093751,True,False,0.00015012451006911746,0.00010291975162023736,0.27754234642889997,3.4979430187804423,-1,1
DET41.SCI,0.029516604339448804,0.2967439952863522,52.538691495688425,-27.956807119380123,RA---TAN-SIP,DEC--TAN-SIP,-3.3205194938966103e-07,8.24268695433974e-05,-8.240243698421944e-05,1.248969681243466e-07,3,1.0468453347803024e-07,3.811341041920201e-12,7.350631221498222e-07,-7.689905361906773e-11,-1.226242034674122e-06,-4.523942462205842e-12,-1.1577981983530012e-10,3,1.1367342107872056e-06,-9.257541613176052e-11,-1.3422196835604815e-06,1.0682121211097362e-11,3.393989854257046e-07,-1.0474941718234886e-10,-1.046175730525736e-11,-1.572692476446566e-05,1.0000003029410467,-1.9030334938499597e-06,1.7713465913001197e-07,3,1.2970291507485854e-05,37,5,16732.778741806047,True,False,0.00023975156098053773,0.00016466319989508739,0.3921827130081233,3.987281158239143,-1,1
DET12.SCI,0.08706488765673726,0.2967439952863538,52.98092114019833,-28.43203380928785,RA---TAN-SIP,DEC--TAN-SIP,4.7243211757627135e-07,-8.285297808461067e-05,8.250204470470579e-05,2.0340857327498475e-07,3,-3.314795501084157e-07,-2.27365283683876e-11,7.386107817640474e-07,-6.933722195896051e-11,5.094940537848519e-07,3.93346118829627e-11,-1.2310254198522565e-10,3,1.0944910073669482e-06,-1.446124095771097e-10,8.472520096191127e-07,1.0742274035526112e-11,3.3764000384130643e-07,-6.730875996742822e-11,3.948809889119529e-12,2.372920164482881e-05,1.0000008848828899,3.619028864658871e-07,-3.173108734175929e-07,3,1.91358040524392e-06,36,4,7596.7476508433665,True,False,0.00010146507833731188,6.939594756699402e-05,0.30322268953555087,1.828119103451278,1,-1
DET22.SCI,0.08067064074879227,0.29674399528637224,52.89671307405451,-28.24928693059949,RA---TAN-SIP,DEC--TAN-SIP,3.1745755125097014e-07,-8.296887502663696e-05,8.277278667364131e-05,1.597433819737624e-07,3,-2.777537367205625e-07,9.137693522419532e-12,2.3498626510655417e-07,-1.0743661001094196e-10,5.28132425998425e-07,1.8552788637013816e-11,-1.286434431034597e-10,3,3.5058735141886107e-07,-9.027635592209358e-11,8.435949990795648e-07,-1.5294716035067994e-11,1.0013845134973564e-07,-1.532392695568243e-11,2.294041804306317e-11,1.939709469639319e-05,1.0000004016541786,-6.724179592879259e-08,-1.8332788008113493e-07,3,2.822186928597148e-07,33,2,3396.138445944523,True,False,6.1078873159352e-05,4.193573831773815e-05,0.12309006042296246,2.2466056989737817,1,-1
DET32.SCI,0.09026201028099479,0.29674399528636697,52.81435303071718,-28.07038743133191,RA---TAN-SIP,DEC--TAN-SIP,-2.54800590946037e-07,8.29575575047665e-05,-8.278259172670746e-05,-7.454488000601601e-08,3,3.5686360614780723e-07,1.5019415099995385e-11,2.4899107533216677e-07,-7.969654887774742e-11,-5.075483358622709e-07,8.907918681059049e-12,-1.114950245584372e-10,3,4.104412029277534e-07,-8.903508041630732e-11,-8.514842410020523e-07,-2.4680927579733197e-11,1.2315701278925518e-07,-6.667616204886128e-11,2.7194133504750783e-12,-1.8286910424559842e-05,1.0000001229129958,-7.086732469943437e-07,2.265444594526057e-08,3,1.5367707106861417e-06,36,4,3722.651598963124,True,False,8.681221548466819e-05,5.944418385493648e-05,0.12388540867149349,4.041540512998342,-1,1
DET42.SCI,0.09985337461607457,0.29674399528635537,52.73013832229092,-27.88767489474222,RA---TAN-SIP,DEC--TAN-SIP,-2.523053355010871e-07,8.281706271366918e-05,-8.251984743458868e-05,8.84191926904508e-08,3,3.166447257502593e-07,2.0800098390475346e-12,7.787112599100082e-07,-7.417813351305766e-11,-5.431414873150628e-07,4.336204661213575e-11,-9.513195528920142e-11,3,1.0983420267624113e-06,-1.0572687681826994e-10,-8.444918068700263e-07,-1.4402485231268372e-12,3.5053219709444743e-07,-1.7630301995049193e-11,4.879761895581655e-12,-1.4579045935021155e-05,1.0000005675454895,-1.3521895437553732e-06,1.9181431826470366e-07,3,5.815126158381645e-06,37,5,48032.87836673625,True,False,0.00017101645408027774,0.00011595014373372239,0.3043053296960765,4.455342167401445,-1,1
DET13.SCI,0.1254303166903128,0.2967439952863522,53.17393756980947,-28.36324476732279,RA---TAN-SIP,DEC--TAN-SIP,4.803775300390493e-07,-8.28201410517088e-05,8.269975476667151e-05,5.045706981131977e-08,3,-5.238235223671016e-07,-1.1213634727192027e-11,7.377275011224825e-07,-5.585002007310925e-11,-1.094172549550854e-07,1.1978351155661244e-11,-7.742174258539496e-11,3,1.082198025842964e-06,-1.231166775538652e-10,3.690168449793267e-07,2.0296993542163352e-12,3.0165323586276895e-07,-8.547102874990036e-11,-7.262138497652296e-12,2.190268921311705e-05,1.0000006192501643,9.341326997243067e-07,-3.26995828900158e-07,3,4.162226119319712e-06,36,4,53916.647386873265,True,False,0.00016494706024128058,0.00011314157347737679,0.3122283559095748,1.2243201585992385,1,-1
DET23.SCI,0.04230512141663212,0.29674399528635426,53.08977880541063,-28.18054449556591,RA---TAN-SIP,DEC--TAN-SIP,1.6550779768780482e-07,-8.30021249903532e-05,8.291219371993821e-05,-1.3390940504596765e-08,3,-5.156552509470767e-07,1.4301832991149833e-11,2.585274001866392e-07,-7.364317691891186e-11,-1.3866580710154093e-07,1.9378133474074722e-11,-1.0835634914285295e-10,3,3.518949500780825e-07,-1.1112024387523875e-10,3.720380333610176e-07,4.899095982219544e-12,9.938549592483846e-08,-7.009210015058685e-11,2.626263457851972e-11,1.9521349944434302e-05,1.0000001252993402,4.686604622205897e-07,-1.9591912458425635e-07,3,6.106226635438361e-07,37,4,14753.450391291539,True,False,7.651075844556458e-05,5.221067252232882e-05,0.1437191240759116,0.7362756409622975,1,-1
DET33.SCI,0.03271373395740795,0.29674399528635426,53.00675528213526,-28.00147306787128,RA---TAN-SIP,DEC--TAN-SIP,1.55137281437509e-08,8.30505397098221e-05,-8.285289615019429e-05,9.215785806821553e-08,3,5.738849804528912e-07,3.21089103740346e-12,2.805433628206152e-07,-7.574837983963778e-11,1.7340179740401157e-07,-2.987514161289194e-11,-1.1144179620026939e-10,3,4.1009703137282645e-07,-7.108858925542545e-11,-3.761804424524496e-07,4.0355183910737236e-13,1.1685760603688664e-07,-7.848246888226724e-11,-7.021677196560357e-12,-1.81957366964042e-05,1.0000004017428832,8.322738029950258e-08,-4.1570065619415506e-08,3,0.0,35,3,4956.573035643502,True,False,1.8404922409724742e-05,1.2590628161196175e-05,0.14384885597663463,-0.7396579789113044,-1,1
DET43.SCI,0.09985337461607457,0.29674399528635537,52.92222729702872,-27.81846700743549,RA---TAN-SIP,DEC--TAN-SIP,-2.6084553693529447e-09,8.297971083527507e-05,-8.253167804556453e-05,1.0345860818538196e-07,3,6.073558370199103e-07,-4.565610624885112e-12,7.395748498817883e-07,-3.697276086121999e-11,2.070702240331631e-07,-1.1374274023265363e-11,-1.3987908050397375e-10,3,1.1726697521947316e-06,-1.2125713910671107e-10,-3.8604861379031545e-07,1.5320228434199457e-11,3.7276999909283224e-07,-1.1631793408726422e-10,-2.780552473984782e-12,-1.498008538382703e-05,1.0000009294151118,-5.436590808803949e-07,1.306459572265277e-07,3,1.851407915864911e-06,36,4,11677.043845047845,True,False,0.00011569670932094616,7.939400043298113e-05,0.3131219737681435,5.057852302123385,-1,1
DET14.SCI,0.016728084091894857,0.29674399528637535,53.3663075501734,-28.294148053472192,RA---TAN-SIP,DEC--TAN-SIP,2.009469147969204e-07,-8.255995855380567e-05,8.279017665233027e-05,-2.642007788971818e-07,3,-7.582833130379692e-07,-1.5467807725321944e-11,7.442788209815757e-07,-7.467609197062489e-11,-8.401192030468929e-07,1.3987924078624241e-11,-8.163330920441109e-11,3,1.1123605281907517e-06,-1.2475758979497877e-10,-7.298380639310227e-08,-3.0321822605820567e-12,3.5826933803525666e-07,-6.653219663912833e-11,7.907785705450849e-12,2.3035021124692153e-05,1.0000003515568137,1.8235041097253992e-06,-4.30538535696171e-07,3,1.0031531161303064e-05,34,4,13506.121273127434,True,False,0.00023649711111943858,0.00016006256531515652,0.4121575633780376,0.7940209006711947,1,-1
DET24.SCI,0.06468501478379096,0.29674399528635903,53.28225990292807,-28.111038772486072,RA---TAN-SIP,DEC--TAN-SIP,1.3770880516152733e-08,-8.28050122328748e-05,8.294317639375463e-05,-7.72712750540287e-08,3,-7.755774218003857e-07,-2.4743194073004772e-11,2.3580554050063976e-07,-1.0654218982522131e-10,-8.48119994713087e-07,-2.348924370652289e-11,-1.280442248005795e-10,3,3.3056162059190135e-07,-1.2057208916402683e-10,-9.352934477330856e-08,-1.7752912824924045e-11,1.2405580586457128e-07,-6.490465411847876e-11,-8.315183701519584e-12,2.058962840392721e-05,0.9999998227401137,1.3866815545576662e-06,-3.001099115689704e-07,3,3.516520408197721e-06,36,4,8838.501915742772,True,False,0.00013750132512525695,9.2850903088097e-05,0.30550790015588586,0.3210953689834928,1,-1
DET34.SCI,0.09985337461607457,0.29674399528635537,53.19885298632904,-27.93203455272068,RA---TAN-SIP,DEC--TAN-SIP,1.5343512381926233e-07,8.29173086127517e-05,-8.282246567874055e-05,6.07702608821831e-09,3,7.539490670389784e-07,-3.631327934162536e-11,2.704101277242814e-07,-6.030241307789669e-11,8.296957157370884e-07,-6.037456032353569e-11,-8.303752941673452e-11,3,3.7822157932067595e-07,-1.4344309604790474e-10,9.476417157402157e-08,-1.4209783554879259e-11,1.09791066753845e-07,-9.499417075715646e-11,4.143525272590891e-11,-1.7030709560576722e-05,1.0000006443788483,2.5455495871356117e-06,-2.2295361431842724e-06,3,4.845013279464183e-07,38,6,1795.618987355549,True,False,5.4969121119100984e-05,3.708997502454684e-05,0.30544225305966183,-0.3236377357348067,-1,1
DET44.SCI,0.023122344538194284,0.2967439952863775,53.11382125126469,-27.749576220722776,RA---TAN-SIP,DEC--TAN-SIP,4.0098367975629183e-07,8.290828593152454e-05,-8.242734293891949e-05,1.5179089333148983e-07,3,7.469396651255682e-07,2.0185358383186587e-11,7.419387555204687e-07,-4.180347965015001e-11,7.655978441639441e-07,-3.08324938501287e-12,-6.93801871906068e-11,3,1.1167781946255823e-06,-1.2233416393365898e-10,6.673473582149752e-08,1.395173385472414e-11,3.40776386104486e-07,-3.5133180055530166e-11,-1.3557087328427172e-11,-1.4404054496596066e-05,1.00000111574193,5.5452803248448263e-08,1.2193947396347408e-07,3,3.219646771412954e-07,33,2,3832.339296139884,True,False,5.078284638724668e-05,3.450028601677973e-05,0.41260322999853594,-0.794782086238943,-1,1
